
JRJC 0.1444 8.64 9.13 10.63 6.08
LGVN 0.3889 24.98 20.12 26 20.01
CYAD 0.3483 4.82 4.7 5.32 4.36
TOMZ 0.2209 2.11 1.75 2.22 1.6
MRVL 0.2088 85.86 83.59 88.49 80.47
SMAR 0.165 71.25 65.94 71.25 63.63
IINN 1.2528 6.06 4.95 6.24 4.52
ENSC 0.8255 5.45 4.97 6.27 4.47
PEAR 0.2708 11.75 9.02 14.6 8.62
AVCT 0.2524 1.3 1.88 1.97 1.26
AMAM 0.2491 10.3 9.18 10.5 8.39
AVCT 0.2232 2.27 2.29 3.13 2.07
CNTX 0.1821 7.44 5.38 7.65 5.1
ORCL 0.1681 104.29 102.63 106.34 100.1
ISIG 0.1609 27.22 20.7 27.35 18.9
EFOI 0.1586 4.11 3.45 4.13 3.21
KTTA 0.3673 2 2.01 2.38 1.87
ENSC 0.1983 5.78 5.12 7 4.862
KXIN 0.1844 1.677 1.39 1.72 1.375
MOBQ 0.1842 3.19 2.6 3.4 2.4
UCL 0.1419 3.35 3.3 3.77 3.191
IMMX 0.9888 7.05 5.78 8.68 5.63
CELZ 0.4887 3.27 3.2 3.88 2.96
JFIN 0.2636 2.89 2.31 2.89 2.24
AFI 0.2626  2.51 2.77 2.82 2.32
BLCT 0.2353 1.89 1.8 2.02 1.72
NTRB 0.7903 7.05 10.08 12.18 6.63
MDRR 0.2549 1.28 1.2 1.55 1.18
XERS 0.2346 2.99 2.93 3.169 2.81
FATH 0.1898 7.73 7.92 8.96 7.4
TEDU 0.1438 1.86 1.84 2.2 1.8
ABSI 0.4886 9.11 7.19 9.26 7.08
ONE 0.2623 0.3468 0.2901 0.45 0.27
MRIN 0.2522 4.32 4.53 5 4.12
GME 0.2215 159.77 140.62 160.31 132.5
HGSH 0.19 2.65 3.48 3.49 2.33
RMTI 0.5056 0.6 0.4687 0.65 0.452 
ADGI 0.1612 6.76 5.26 6.77 5.18
BTCS 0.1507 7.68 6.88 8.88 6.43
ISPC 0.1303 7.7 6.95 7.76 6.85
BBLN 0.1130 6.5 6.82 7 6.19
MDJH 0.5774 2.639 2.44 2.87 2.12
OLB 0.3386 2.18 2.49 2.58 2.08
GPL 0.31 0.2 0.2075 0.208 0.19
STAR 0.1498 25.26 24.94 25.42 23.31
EAT 0.1376 39 37.63 40.25 36.64
